news_body                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,news_source,news_thread                      ,news_time          ,news_title                                           ,news_url                                                              ,source_url
"
                        （原标题：实探瑞幸门店：订单潮涌，挤兑式消费，店员称“你懂的”！冲击波蔓延，“神州系”股票集体砸趴（附现场视频））
                    ,
	,
	,
						,
						,
					,“先生，你的单还要半小时，你可以隔一段时间再过来。”在深圳凤凰大厦瑞幸咖啡门店内，店员不停对陆续对前来自取的顾客解释着,昨晚，就在大多数人熟睡的时候，瑞幸咖啡在美国跌了75.57%，跌去50亿美元，目前市值为16.2亿美元。今早醒来，担心优惠券和预存款失效，消费者纷纷在小程序和APP下单，随着7点半瑞幸门店开业，潮水般的订单随即涌来。,今天上午10时4分，证券时报e公司记者在瑞幸小程序下单一杯拿铁咖啡，选择门店自提，时间显示12时5分可取。相比平日不超过10分钟的自取等候时间，已经大幅延长。,上午10时30分左右，凤凰大厦瑞幸咖啡门店内，5名店员正在忙碌的制作饮品，另有1名店员在前台分派饮品。两三名快递员在门店外等候取货，还有更多选择自提的顾客陆续来到门店。店内工作台和前台取餐桌上，摆满了各种等候制作的饮品纸杯。,“怎么今天要等这么久。”在附近写字楼上班的李先生表示，日常会来买一杯咖啡，主要是性价比高，不断有优惠券。但往日自提只需不到十分钟即可取餐，现在却要等半小时以上“现在还有两百多单没做完，不着急的可以待会再过来。”前台店员解析说，以往门店都没有遇到过同时这么多订单，目前线上有些“爆单”，前面排号较多，不好预估要等多久。,“账号里还有几张优惠券没用，帮同事也买了，赶紧用完。”陈女士留意到瑞幸财务造假的新闻，今日趁着上班间隙赶紧下单了四杯咖啡，一次把优惠券用完。,店员表示，今日公司未有特别通知，正常上班。当追问“爆单原因”，店员未有多说，只是笑称“你懂的”。,深圳的“爆单”并非个例，在微博和朋友圈看到，上海，北京，广州等城市的瑞幸门店今日上午均出现订单潮，门店人流明显比平常多了，现场下单要等个半小时以上。“一大早看见新闻饭都没吃出门买了五杯咖啡一杯果汁 想起来曾经被OFO小黄车押金退不出来的恐惧 。”有微博网友表示。,看起来跌了很多，16.2亿美元市值，还是很庞大的数字，这说明投资者对瑞幸还抱有一丝希望。,今日，香港上市的神州租车（00699）跌去54.42%，目前停牌。截至发稿在新三板上市的神州优车(838006)下跌26%。他们和瑞幸咖啡一道，都由神州系一般人马锻造。既然有一个公司造假，公众自然会猜测其他公司的含金量，即使没有造假，品牌美誉度也会受到牵连。神州优车和瑞幸还存在交叉持股，整个瑞幸的创始团队也是从神州优车出来。,目前神州优车集团办公正常,神州系北京办公总部，位于北京海淀区中关村东路118号,（今天神州系股价暴跌，记者来到探访了神州系北京办公总部。疫情原因，所有无证进出人员需接待人报备行政部方能进入，e公司记者注意到，目前神州优车办公状况正常，人员进出比较密集。此办公地点还有宝沃汽车工厂店，一位工作人员对e公司记者表示，宝沃汽车现在属于神州优车旗下公司，优车的租赁汽车大部分这宝沃品牌，神州入主后，销量有所提高。）,回到瑞幸咖啡这件事，瑞幸一直在上演“见证奇迹的时候到了”，可是现在，奇迹背后是老套的财务魔法。瑞幸亲手焚烧了自己设计的剧本。,有些奇怪的是，瑞幸在为什么会自爆丑闻。,的确，此前做空机构发布了做空报告，但一般情况下，上市公司管理层会奋力反击，开电话交流会，开新闻发布会，有时候还要声泪俱下，痛斥做空机构亡我民族企业心理阴暗。这才是国内投资者比较熟悉的脚本。,国内投资者几乎看不到国内公司被做空，当年有一家著名的药企被做空，各方纷纷表发高见，认为这家做空机构居心叵测，搞得做空机构要证监会表态，要说明是否支持发布做空报告。后来该公司股价跌了一下，就稳住，继续上涨，更没有人发做空报告了，再后来的故事大家都熟悉了，那就是在降杠杆的大背景下原形毕露，股价跌的一塌糊涂。,面对做空者，瑞幸一反常态，而是在内部成立了一个委员会，专门调查此事。,这很国际范儿，很像瑞幸的做法，瑞幸一开始就是按照国际规则来打造和设计，奔着资本市场去的。从创意，融资到进度，都很高大上。,而且瑞幸好像也不准备做点暗箱操作，掩饰一番，而是很痛快的承认了问题，但是责任推给了公司首席运营官刘剑及其部分下属，称其从2019年度第二季度起就从事某些不当行为。在2019年第二季度到第四季度，参与伪造交易相关的销售额约为22亿元。,22亿元这个规模很大，几乎是2019年瑞幸前两个季度的营收总额。,也就是说，瑞幸靠送券低成本拉客获得的销售额和高速增长，还要打个折扣。瑞幸靠高增长打造的资本盛宴，是不存在的。,在此之前，剧本一直按照瑞幸设计的走，为什么这次不走了？,众所周知，瑞幸脱胎于神州系，神州系“铁三角”由神州系创始人陆正耀、愉悦资本创始人刘二海、大钲资本创始人黎辉组成。陆正耀也是瑞幸咖啡背后的实控人，掌控全局，负责解决早期资金问题和内部管理，刘二海和黎辉负责更高层面的外部资本运作。,瑞幸也有自己的铁三角团队，瑞幸的CEO钱治亚是刘剑在神州优车时的老领导，刘剑不在铁三角里面。,一个不在核心管理层的人，以一己之力，伪造了相当于两个季度的销售额。,而且CEO还没有发现。很难以置信。刘剑在瑞幸持股甚少，他完全没有动力做这些事情，除非有超过其能力的绩效考核，有很多奖金摆在跟前，或者是授命行事。,此次调查的导火索是今年2月份浑水公司发布的一份由匿名调查者完成的做空报告。此报告基于从瑞幸2000多家门店收集的2.58万张电子小票，以及11260个小时的门店流量视频分析发现，瑞幸每家店每日销售的商品数在2019年三季度夸大69%，四季度夸大了88%，瑞幸被指控财务造假，门店销量、商品售价、广告费用、其他产品的净收入都被夸大，2019年三季度瑞幸的门店营业利润被夸大3.97亿元。报告称，“瑞幸的生意事实上已经破产”。,在报告发布后，瑞幸曾出面否认，另有包括国外知名机构香橼和国内中金等二级市场研究机构站出来帮着瑞幸反驳。,但是这份报告，最终引出一个独立委员会进行调查，据说这是美国证监会的要求，这是迫于美国证监会要求和压力。,但是选择捅开造假的是瑞幸自己，可能的原因是，造假是一部分人所为，另一部分人不想受到牵连。还有一种可能，造假太过明显难以掩饰，从而舍车保帅。当然还有可能就是出现了内讧。,此次的调查组由三名独立董事组成，组长邵孝恒从瑞幸上市时就担任独立董事，并持有股份。浑水此前指出，“瑞幸的独立董事邵孝恒在德勤工作10年后，曾在多家在美上市的中国公司担任董事。这18家公司中，有4家被指控存在欺诈行为，以及5家被指是反向收购——这些都是2011至2012年出现的大批臭名昭著的中国欺诈公司。”,独立调查组的另外两人为近期进入公司。而公司董事、愉悦资本的刘二海从审计委员会退出，退出后不久，瑞幸就承认造假之事。,瑞幸造假，对中国在美国上市的公司影响恶劣，中概股造假屡出不穷，尽管有分析人士称造假将迎来严格的处罚，比如巨额罚单和和来自投资者的集体诉讼。如果构成恶意证券欺诈，相关个人也将面临刑事责任。但是还没有刑事案件发生，而且诉讼也经常是以和解的方式了解。,瑞幸咖啡是伴随着质疑迅速长大的。这家公司拥有超强的营销能力，烧起钱来也不手软。,有一段时间，瑞幸咖啡累计销售收入3.75亿元，净亏损8.57亿元。平均下来，每卖一杯咖啡，亏损23元。,人们由此担心，这家公司会朝着ofo的方向一去不返，同样的烧钱速度，同样是重资产运营。管理层1月4日在和媒体交流中试图打消疑虑，称高管都很有经验，都是10年以上的创业老兵，好好享受咖啡和优惠就好。“去年是中国咖啡消费元年，多少年之后回头看，整个行业都会感谢我们的加入。” 瑞幸CMO（市场营销官）杨飞说。,杨飞是了解瑞幸的重要入口，可以看出瑞幸的打法来源，他在公司的作用比刘剑要重要得多。,杨飞在这场活动中频频回答问题，如果深入了解这个人，就了解了半个瑞幸咖啡，基本了解瑞幸咖啡的打法。在2018年9月的一次分享会上，杨飞说，咖啡比出行行业挣钱容易得多，“而且我们团队改造传统行业的经验可以得到复制，先用补贴‘破坏’一个行业，再用互联网的手段去重造”。,破坏一个行业，再构建一个行业，其办法是补贴和营销，杨飞在回答瑞幸咖啡总经理钱治亚“你认为最重要的APP获客方式是什么”的问题时，给出的答案是“裂变拉新”。所谓“裂变拉新”，就是将原来用在广告上的钱，直接用在客户上，通过客户之间的传播来拉取新客户。互联网时代不少应用都是通过朋友之间推荐快速传播，例如当年的百度、阿里巴巴、QQ、微信等等，后来，深谙此道的商家逐渐让用户向周围的朋友推荐，新注册和推荐者都能得到一定好处，比如爱彼迎、滴滴等。拼多多时代，则迎来了更新的玩法，砍价的方式让产品病毒裂变，拼多多APP在短期内得到更快发展。,瑞幸咖啡还很擅长做碰瓷营销，瑞幸咖啡一直在与星巴克打口水战，尽管消费者觉得它还比不上星巴克，但可以在消费者心智中产生和星巴克捆绑在一起的印象，就拉开了和其他竞品的距离。据报道，杨飞2015年为神州专车策划了“Beat U”方案，暗示C2C专车模式不如神州专车的B2C模式。蹭热点的方案让下载量大增。这幕后被认为是杨飞的杰作。因为非法删帖生意，杨飞曾作为北京口碑互动营销策划有限公司高管获刑，此人中国传媒大学毕业，年纪轻轻就成为业内大佬，后来带领团队加入神州优车。,善于把握热点和舆论，这也是瑞幸咖啡的特点。目前看，不喜欢瑞幸咖啡的占多数，他们不喜欢这家公司的营销方式，不喜欢这家公司的口感，也不喜欢它碰瓷星巴克。但是瑞幸咖啡的开店以及销售数据还在蹭蹭的往上涨，这说明，更多客户被吸引过来。,人们怀疑其会成为下一个ofo，是担心像ofo那样钱烧完后力竭而死，现在看来不是钱的问题。,撇开造假，瑞幸的美誉度一直在提高，街面上捧着瑞幸走路的人增加，店铺生意越来越好。这有点像乐视，在消费者心目中一直很友好。,中国食品产业分析师朱丹蓬对e公司记者表示：瑞幸咖啡遭遇数据造假，可以说是成也萧何，败也萧何。瑞幸咖啡其实是一家非常有创新力的公司，它的模式创新、运营创新、产品渠道品类创新，都做的非常好，因此早早就受到资本青睐。资本让瑞幸咖啡仅用18个月时间，就在纳斯达克上市。资本绑架了瑞幸咖啡，最终也害了它，非常可惜。",证券时报·e公司   ,F99R5VRA0001899O                 ,2020-04-03 13:04:09,"实探瑞幸门店:订单潮涌挤兑式消费 店员称""你懂的"""                        ,https://news.163.com/20/0403/13/F99R5VRA0001899O.html                 ,http://egs.stcn.com/news/detail?id=620716
"
                        （原标题：北京一女子疑“出国避避”却因疫情被困海上邮轮 出现发热已“失联”5天）
                    ,近日，微博网友“暴以素”因所乘邮轮出现新冠肺炎患者，而被困海上多日的事件引发网友关注。据其微博自述，该网友于3月8日晚登上邮轮“赞丹”号，3月23日在船上进行集中隔离，3月26日出现发烧、咳嗽等症状，27日病情加重后微博便再未更新。,据中国新闻网消息，3月27日，支援邮轮“鹿特丹”号来到巴拿马海域，接收了“赞丹”号上401名无任何症状的乘客，并送来了物资和检测试剂盒。,“感谢大家关心，暴暴现在还好。”4月2日，微博认证为世界五子棋锦标赛中国队队员的暴以素好友告诉红星新闻记者，暴以素目前情况稳定，但因后期不确定因素较多，具体情况他也不清楚。,据CNN报道，“赞丹”号和“鹿特丹”号所属荷美邮轮公司，这两艘邮轮上有200多名乘客和船员出现类似流感的症状，其中8名乘客新冠病毒检测呈阳性，这两艘邮轮将在当地时间周四凌晨在佛罗里达海岸附近靠岸。但是，是否允许乘客下船仍不清楚。,3月28日，有媒体报道称，荷美邮轮“赞丹”号上有百名乘客出现流感样症状，至少2名乘客检测结果呈阳性，且已有4人死亡。由于担心新冠病毒传播，智利、秘鲁、阿根廷等国接连拒绝该船靠岸，当时该艘邮轮已被困海上近两周。,而据微博网友爆料，在该艘邮轮上，还有一名微博名为“暴以素”的中国籍女子，已在5天前出现咳嗽、发热等症状。,根据暴以素微博展示的房卡照片显示，其入住在“赞丹”号（布宜诺斯艾利斯—圣安东尼奥）上，房卡的有效使用期限为2020年3月7日—2020年4月8日。,微博内容称，2月20日中午11时许，暴以素从北京首都机场离境，前往欧洲多国旅行；2月29日，她抵达巴西首都里约热内卢，正式开启南美洲之旅……3月8日，暴以素在阿根廷首都布宜诺斯艾利斯登上“赞丹”号，并更新微博说“希望不是又一艘‘钻石公主号’”。当时，暴以素的朋友曾建议她注意防护、尽快回国，她却表示“行程暂时不能改了，放心，我会尽量注意的”。,暴以素的微博内容、位置定位信息显示，她于3月8日在布宜诺斯艾利斯登上“赞丹”号，9日晚间驶离，后又途径乌拉圭蒙得维的亚、福兰克群岛、智利蓬塔阿雷纳斯等地。其中，3月15日至23日期间，她一直在智利境内各地逗留。,3月24日，暴以素发文称，她在海上隔离，目前已过秘鲁边境。而据其27日博文内容，她所乘坐的邮轮已与“鹿特丹”号汇合，船上人员也相继获得了药品与试剂。,对比有关媒体报道的“赞丹”号行驶路线：3月7日在阿根廷布宜诺斯艾利斯启程，3月14日在智利旁塔阿雷纳斯（Punta Arenas）停靠补给物资，3月26日与荷美邮轮公司派来的另一艘邮轮“鹿特丹”号会合。暴以素的行程路线与“赞丹”号高度吻合。,微博显示，因船上出现多起疑似病例，3月23日，暴以素被要求在邮轮房间里进行自我隔离。3天后，暴以素感觉自己也出现了一些状况，“继2天咳嗽之后，又开始发烧，体温在37.6-38.1℃”。,3月27日，是暴以素最后一次更新微博，她说自己已在邮轮里隔离了5天，“咳嗽加重，体温靠退烧药维持，大量喝水排水，出的汗像水洗一样”，仍旧不知何时可以下船。,截至4月2日，暴以素已经5天没有更新微博，许多关注到此事的网友纷纷在其微博下留言，希望暴以素能得到救助、平安归来。,通过查询，红星新闻记者发现，微博账号“暴以素”注册于2010年1月26日，至今共发表2297条微博，内容以博主的个人生活、旅游经历为主。3月8日，暴以素在微博晒出自己的玻利维亚签证照片，姓氏一栏上明确显示姓名为“BAO YISU”。此外，在其1月7日晒出的，盖有北京海关公章的黄热疫苗证件照上，其姓名一栏也明确显示着“暴以素”三个字。,“感谢大家的关心，暴暴还好，请放心。”4月2日，暴以素好友、微博认证为世界五子棋锦标赛中国队队员的网友“一休哥”告诉红星新闻记者，“暴以素”系该博主的真实姓名，北京朝阳区人，曾就读于北京化工大学经济管理学院。,据他所知，暴以素目前情况稳定，但因后期不确定因素较多，具体情况他也不清楚，“暴暴是我的学妹，她和其家人一起登船的。”,荷美邮轮公司在中国境内的一位船票经销商告诉红星新闻记者，类似暴以素这样的“失联”情况，或许是其wifi中断导致，但因未收到邮轮公司的相关信息，他们也不清楚“赞丹”号上的具体情况，“一般有任何消息或通知，邮轮公司都会通过邮件告知我们，然后由我们翻译成中文推送给中国客户，但目前我们还未收到任何消息。”,截至红星新闻记者发稿，暴以素的个人微博仍旧没有更新动态，也未回复私信。,据了解，载有1800名乘客和船员的“赞丹”号3月7日启程于阿根廷，3月14日，由于“赞丹”号船上通报有42人出现类似流感的症状，因此遭到了南美洲多个港口拒绝停靠的要求。3月27日，在距巴拿马城8英里外的海上，同属荷兰美洲邮轮公司运营的姊妹邮轮“鹿特丹”号从“赞丹号”接走了401名无任何症状的乘客，并送来了物资和检测试剂盒。,据报道，周三晚间，两艘邮轮所属的荷美邮轮公司向美国联邦政府和地方当局发出最后呼吁，请求允许“赞丹”号和“鹿特丹”号邮轮在佛罗里达州劳德代尔堡市的埃弗格莱兹港靠岸。,不过，CNN报道称，“赞丹”号和“鹿特丹”号上有200多名乘客和船员出现类似流感的症状，其中有8名乘客新冠病毒检测呈阳性。劳德代尔堡市长迪恩·特兰塔利斯告诉CNN:“我们希望这些生病的人能得到及时的医疗援助。我们必须知道，他们被隔离的方式以及他们不会感染社区的其他成员。”据了解，这两艘邮轮将在当地时间周四凌晨在佛罗里达海岸附近靠岸。但是，是否允许乘客下船仍不清楚。“我们并不反对船只在我们社区停靠，问题是，目前双方还未建立允许这些人下船的协议。”特兰塔利斯表示。"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,红星新闻       ,F98GV9JL00018AOR                 ,2020-04-03 00:36:31,"北京女子疑""出国避避""被困海上 船上8人检测呈阳性"                        ,https://news.163.com/20/0403/00/F98GV9JL00018AOR.html                 ,https://static.cdsb.com/micropub/Articles/202004/0be95a79bcb1f220649659d52c3d1931.html
"
                        （原标题：留学生归国后隐瞒出境史还参加婚礼 确诊后致上百人隔离）
                    ,新京报快讯 今天（4月3日），最高检联合公安部发布境外输入型疫情防控典型案例，其中包括甘肃省胡某某涉嫌妨害传染病防治案。根据通报，胡某某隐瞒出境史，不进行居家隔离，还跑去参加婚礼、上坟，确诊后致上百人被隔离，后以涉嫌妨害传染病防治罪被立案。,犯罪嫌疑人胡某某，男，1995年1月出生，2015年赴埃及留学，在爱资哈尔大学高中部（预科）学习语言。,新冠肺炎疫情暴发后，甘肃省临夏州于2020年1月26日发布《临夏州新冠病毒感染的肺炎疫情联防联控工作应急指挥部公告（第2号）》，明确规定所有外省来临返临人员必须履行法定义务和责任，主动委托家属或亲朋到居住地村委会、居委会登记报备，并将公告内容在居民区张贴公告。,3月6日18时50分（当地时间，下同），胡某某从埃及开罗机场乘坐阿联酋航空公司EK9244航班，于3月7日0点25分到达阿联酋迪拜；3月7日3点20分转乘阿联酋航空公司EK306航班，于3月7日16时到达北京；3月8日13时，乘机到达兰州中川机场。其父驾车将胡某某接回位于甘肃省临夏州某县家中（家中有5名家属），并告知胡某某要按照规定进行隔离。但是胡某某未听从其父亲的劝告，未登记报备，也没有进行隔离。,3月8日至12日，胡某某随意外出购物、走访亲戚，并于3月10日驾车带妻子马某某赴甘肃省妇幼保健院做产检。3月10日，县公安机关将胡某某从国外回境情况通报县防疫指挥部。3月11日，临夏州防疫指挥部发布疫情防控9号公告，要求“所有境外来临人员将健康情况等信息向乡镇、社区报告，并积极配合相关单位疫情防控工作”。,3月12日，该县城关卫生院工作人员到胡某某家中对其进行身体检查，发放告知书，明确提出必须居家隔离不得外出并每日报告体温检测情况的要求，胡某某隐瞒从埃及、迪拜入境的事实，谎称自己从北京归来没有出入境，未执行居家隔离的要求，先后去岳父家、参加同学婚礼、上坟等。,3月13日，胡某某被集中隔离。3月14日，确诊患新冠肺炎。因胡某某及其亲属未向居住地所在的乡镇、村（社区）进行报备登记，未遵守隔离规定，故意隐瞒从境外归来的事实，导致45人被定点隔离、88人被居家隔离。,3月16日，某县公安局对胡某某以涉嫌妨害传染病防治罪立案侦查，并主动听取县检察院对案件证据取证意见建议。近日，公安机关对胡某某采取监视居住强制措施。目前，胡某某已治愈出院，按照疫情防控要求，现在当地集中隔离观察。下一步，司法机关将依法予以追诉。"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,新京报        ,F99VAK030001899O                 ,2020-04-03 14:16:35,留学生归国隐瞒出境史参加婚礼 确诊后上百人隔离                              ,https://news.163.com/20/0403/14/F99VAK030001899O.html                 ,http://www.bjnews.com.cn/news/2020/04/03/712774.html
"
                        （原标题：近十只小鸟离奇撞楼坠地奄奄一息，原因让人又惊又无语）
                    ,
	,
	,
						,
						,
					,【近十只小鸟离奇撞楼坠地奄奄一息，原因让人又惊又无语】近日，北京，有市民发现在昌平区北环里18号楼与19号楼中间的空地上躺着近十只奄奄一息的小鸟。经过观察，市民发现，小鸟坠地的原因竟是撞上大楼的外墙玻璃，由于玻璃镜面反射出天空的景象，导致很多迁徙鸟误以为可以自由飞翔，最终不幸撞落在地。,
"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,星视频        ,F9A04TCM0001899O                 ,2020-04-03 14:30:57,北京一自建房安装玻璃幕墙 候鸟无法分辨撞墙身亡                              ,https://news.163.com/20/0403/14/F9A04TCM0001899O.html                 ,https://m.weibo.cn/detail/IBBrgaK4d
"大家好！,对不起，今天发的有点晚，因为金花这两天被一部小说给迷住了！,没错！就是这部紧跟时代潮流的高考重生文！,别说，看完95年的我都想再回去重考一回了！,不过按今年这“见证历史”的频率，我真的是相当心疼这届高三的孩子啊！,这不，今天，俺刘金花有生之年（三月之内）再次见证了历史！,不知道大家记不记得初中课本上的讲美国1929~1933年经济危机时，那副“罪恶的资本家宁愿将牛奶倒掉也不分给穷人”的经典画面。,实在没想到，2020年的今天，我们居然再次见到了历史课本上的这一幕……,新冠肺炎疫情期间，美国再次出现了牛奶过剩，威斯康星州的奶农们被迫往下水道里倾倒数十万加仑的牛奶。而与此同时，美国不少地方的民众，正对着抢购一空的牛奶货架犯愁。,
	,
	,
						,
						,
					,而2020年这荒诞的画面与90年前唯一的区别就是，牛奶倾倒的地方由密西西比河变成了下水道……,确实稍微那么环保了些……,虽然咱们也知道，这是农场主们的经济行为，因为种种原因现在卖牛奶就等于赔钱，倒了反而赔的少点儿。,但着实让人惶恐啊~,今年高三的孩子们参加高考时会不会遇到：,额……突然想到了被考试支配的恐惧。,问大家一下，如果让你再参加高考答这题，你感觉你能拿多少分？,其实比起，今年的高三学子，最难的还不是他们。,而是，毕业论文写《瑞幸》的“论文狗”们！,为啥一夜之间“瑞幸咖啡”火了？,易友们可能不知道，现在网上都说：瑞幸咖啡一波骚操作，割了美国韭菜。,不过，具体事情可没那么简单，不信你来瞅瞅半佛老师的讲解：,
	,
	,
						,
						,
					,没错！,现在一夜暴跌八成的“瑞幸咖啡”，已经不是简简单单的“瑞幸咖啡”了！,而是：,不过这还不算最骚的！,除了自爆造假，它还自己给自己点了个赞……,不仅如此，其官微和老总，不但没看到受啥影响，还在微博和朋友圈里表示：今天更要元气满满！小伙伴加油！”,老板：不就跌了80%嘛？元气满满奥利给！奥利给就完了！,还有高管表示：资本的事自己不清楚，但最重要的是必须实事求是，永远元气满满。,瞅瞅人家这魄力！,股票狂跌80%还能元气满满，咱们还有什么理由不努力？！,为啥莫名其妙的我突然粉上了呢！,这憨憨的操作，要不是没买瑞幸的股票，真的一波大爱啊！,不过身边的很多朋友，虽然没有买瑞幸的股票，但是手里都有他们家的咖啡券啊！,这不，瑞幸血崩时，每一张打折券都在勇闯天涯！,大家害怕其倒闭都在疯狂的用券抢咖啡……,壮观到什么程度？,不但外卖小哥忙不过来。,瑞幸的APP和小程序都被挤爆了！,说实话，要不是股价跌的是真实的，我真觉得瑞幸这波营销做的挺好。（误）,携程老板梁建章就没瑞幸老板那么潇洒，在旅游业严重受挫的当下，亲自下台直播卖货，还穿上了古装，扮起了素贞……,不对！,是沈腾！,哈哈哈哈，我越看越觉得他就是打着卖货旗号，满足了自己cosplay的愿望呢~,不过确实旅游业今年上半年太难难难难了！,有这样肯弯得下腰，为企业拼命的老总也是相当不容易……,希望，疫情早点结束，咱们可以摘下口罩舒舒服服，痛痛快快的出去疯玩一场！,（偷偷给大家插播点福利：仔细看图有惊喜哦！真人！实拍！果体！）,（啊啊啊啊啊不要打我）,说到疫情，咱们都知道，现在国内的疫情已经有所稳定，所以很多商铺也开始逐渐恢复营业。,但，考虑到大家的安全，所以现在不少店铺都对顾客进行了身份登记，方便万一接触到确诊患者，能够及时联系到。,但，有些人却打起了歪主意。,这不，在成都的一家餐馆里，一位男顾客就试图通过登记表向店员索要女顾客的手机号！,可这私人信息，人家店员哪能随便给你？,经过询问，人家女顾客也并不想给他。,结果他就火了，直接抄起POS机把火撒在了服务员身上！,直接把女服务员头给砸破了，流了好多血。,你说，这到底是个什么玩意？,你要个电话为啥不能自己直接去要，还偷偷摸摸的？,你是有啥企图啊？,要不来，还打人？,要我说，你要是打算和人家谈对象，也人家得亏没瞎了眼上你这条破船！,渣男！,要我说啊，这种人就该抓起来，关两天就老实了！,不信你看下面这位。,就因为男朋友没有出入证被拦下，就逮谁骂谁，嘴里的脏话啊，我一个女生都觉得替她丢人。,
	,
	,
						,
						,
					,你说你要是真硬气就刚到底啊，可结果一被带到派出所，立马怂了……,啧,但凡有点脑子都不会干这种事吧？,同样，前几天那位头铁的，拒绝集中隔离，不戴口罩出门还私拆报警器的坦桑尼亚男子，今天直接被警方行政处罚，限期出境咯！,干的漂亮！,咱中国又不是垃圾场，收这洋垃圾干嘛？,相比之下，建议青岛警方学习一下。,那三位不但插队还出言不逊的洋垃圾，是否也该扔回去？,就简简单单写个狗爬的道歉信不严惩，人家还以为咱面子多廉价呢！,现在国内这疫情形式，可都是全国上下14亿人和无数奋战在一线的医护人员用巨大的代价换来的！,如果让几个洋垃圾坏了这来之不易的大好形势可太让人无法接受了！,截止今天，全球新冠肺炎确诊病例已经超百万例！,在面对传染性如此高的疫魔和全球如此严峻又复杂的形势下，正如张文宏医生所说：咱们两到四个月，把一个大流行给控制住，在整个传染病历史上事实上是不曾有过的，在整个医学历史教科书上是没有过的。为中国的勇士、为我们的国家、为我们的人民感到自豪！,
	,
	,
						,
						,
					,在国内疫情逐渐稳定后，我们派出一支又一支志愿队，送出一批又一批的物资支援他国！,在某些国家为了救治年轻人选择放弃老年人时，我们却从未放弃过任何人！,（来源：@相生栗子）,没错，能做到如此，因为我们有他们！,有无数冲锋在前线的医护、防疫人员们！,明天是清明节，是中国传统寄托哀思的日子。,明天也是全国哀悼日，国务院于4月2日宣布：为表达全国各族人民对抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞的深切哀悼，2020年4月4日举行全国性哀悼活动，在此期间，全国和驻外使领馆下半旗志哀，全国停止公共娱乐活动。,感谢有你们在，感谢你们为我们拼过命！,以上~,每日涨点新姿势：《为什么超市要把口香糖和套套放在收银台旁边？》,
	,
	,
						,
						,
					,有一个“无法用普通话描述的物件”，这个东西你们那里叫什么？,请配吐槽语～,两位网友的吐槽，你更欣赏哪一位的呢？,北京的朋友们注意啦，这个可是真人真事哈哈哈哈,第10000条评论厉害了！必须上榜！也祝这位易友每天开心~,（所有栏目内容推荐均撷取自网友的智慧言辞，仅出于传递信息的目的，不代表网易官方声音。)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,轻松一刻       ,F9AH7CPA000181BR                 ,2020-04-03 19:29:24,"轻松一刻：活久见!美国牛奶被迫倒下水道,这是要…"                           ,https://news.163.com/20/0403/19/F9AH7CPA000181BR.html                 ,#
